name,email,number,url,address
Steve O'brien,DataTeam@reejig.com,+61 4123 567 891,https://www.linkedin.com/company/reejig/,"123 Reejig Road, Reejig City, Australia"
Tyson Chan,tyson.chan@protonmail.com,410-183-788,linkedin.com/in/tysonchan,"Unit 909, 8 Walker Street, Rhodes NSW 2138"
,tyson@,61410183788,tysonchan.com,"909/8 Walker St, Rhodes"
Mr Tyson Chan,,0410 183 788,http:/tysonchan.com,"909-8 Walker St, Rhodes, Australia"
T. Chan,@tysonchan.com,,ftp://tysonchan.com,"Walker St, Rhodes"
Tyson - Chan,TYSONCHAN@protonmail.com,+61 410 183 788,,Rhodes NSW Australia
TySoN cHaN,tysonchan,(+61)410183788,tysonchan,
John Smith,john.smith@gmail.com,412345678,johnsmith.com.au,"19 Hutchins Street, Brisbane"
Albert Einstein,einstein@relativity.de,06834 72 07 87,https://www.nobelprize.org/prizes/physics/1921/einstein/biographical/,"Ulm, Germany"
Richard Feynman,feynman@technique.net,213-200-1624,https://en.wikipedia.org/wiki/Richard_Feynman,"517 W 6th St, Los Angeles, CA"
Elon Musk,elon@tesla.com,0859208873,tesla.com,249 Struben St Pretoria South Africa
Steve Jobs,steve@apple.com,650-305-2811,apple.com,"2066 Crist Drive in Los Altos, California"
